ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,―,する,その他,"1,528",463,A9105,通常,ラウロマクロゴール,（未設定）,258 : ＮＩＫＫＯＬ　ＢＬ-4.2（ラウロマクロゴール） ／ 日局 ／ 日光ケミカルズ(株) ／ イワキ㈱,,12 ヵ月,,BL-4.2(ラウロマクロゴール),ﾋﾞｰｴﾙﾖﾝﾃﾝﾆ. ﾗｳﾛﾏｸﾛｺﾞｰﾙ.,g（1）,,1％,可能,15kg,,images\463.jpg,kg,15kg,,日本サーファクタント工業㈱,日局,購買,スペラネクサス㈱,1.17kg,,
,1 枚,12 ヵ月,14 日,坐剤/軟膏/外用液,リテスト,リテスト5年,する,主薬,"6,000",465,A9201,通常,リドカイン,（未設定）,383 : リドカイン　＜ＤＥＬＴＡ＞ ／ 日局 ／ DELTA（日本バルク） ／ 日本バルク薬品㈱,,12 ヵ月,劇物,リドカイン(DELTA),ﾘﾄﾞｶｲﾝ.ﾃﾞﾙﾀ.,g（1）,,1％,可能,50kg,劇物,images\465.jpg,kg,50kg,,DELTA,日局,購買,日本バルク薬品㈱,4.6kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,主薬,"6,000",466,A9219,通常,リドカイン塩酸塩,（未設定）,476 : リドカイン塩酸塩　＜ＤＥＬＴＡ＞ ／ 日局 ／ DELTA（日本バルク） ／ 日本バルク薬品㈱,,12 ヵ月,,リドカイン塩酸塩(DELTA),ﾘﾄﾞｶｲﾝｴﾝｻﾝｴﾝ.ﾃﾞﾙﾀ.,g（1）,,1％,可能,50kg,,images\466.jpg,kg,50kg,,DELTA,別紙規格,購買,日本バルク薬品㈱,4.84kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"21,000",467,A9203,通常,リボフラビン,（未設定）,385 : リボフラビン（発酵品）　（＝ビタミンＢ2（発酵品））　＜協和ファーマ＞ ／ 日局 ／ 協和ファーマケミカル㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,リボフラビン(発酵品),ﾘﾎﾞﾌﾗﾋﾞﾝ.ﾊﾂｺｳﾋﾝ.,g（1）,,1％,可能,5kg,ゆめぽりす工場使用製品無し。(今後ユンケルゾンネで使用予定)みどりヶ丘工場のみ使用中。,,kg,5kg,,協和ファーマケミカル㈱,食添,購買,日本バルク薬品㈱,0.05kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"27,700",468,F0129,通常,リボフラビン,（未設定）,384 : リボフラビン（食添） ／ 食添 ／ 金剛薬品㈱ ／ 金剛薬品㈱,,12 ヵ月,サンプリング量5g以下,リボフラビン(ユニバーサル),ﾘﾎﾞﾌﾗﾋﾞﾝ.ﾕﾆﾊﾞｰｻﾙ.,g（1）,,1％,可能,1kg,50g小分け包装品は、2021.3.18納品分が最終(50gは終売)。以降、1kg包装品になる。1kg包装品:数年リテストすることになる。3回目くらいには、水分値が規格範囲外で不適になる可能性あり。ほとんど余って廃棄になりそう。製造所:金剛薬品(DSM),images\468.jpg,kg,1kg,,金剛薬品㈱,食添,購買,金剛薬品㈱,0.05kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,メーカー期限2年9か月,する,主薬,"49,400",469,A9104,通常,リボフラビン酪酸エステル,（未設定）,388 : リボフラビン酪酸エステル ／ 日局 ／ 協和ファーマケミカル(株) ／ 日本バルク薬品㈱,,12 ヵ月,2013/3/21より金剛化学から変更、2015/10/1より第一ファインケミカルから社名変更,リボフラビン酪酸エステル(協和ファーマケミカル),ﾘﾎﾞﾌﾗﾋﾞﾝﾗｸｻﾝｴｽﾃﾙ.ｷﾖｳﾜﾌｱｰﾏｹﾐｶﾙ.,g（1）,,1％,可能,5kg,次回、発注することがあれば、【21-050】原料ベンゼンスルホニルクロライド(BSC)のメーカー追加に該当。,images\469.jpg,kg,5kg,,協和ファーマケミカル㈱,日局,購買,日本バルク薬品㈱,1kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"3,480",47,C1101,通常,アラビアゴム末,（未設定）,012 : アラビアゴム末「S」（日局） ／ 日局 ／ 鈴粉末薬品㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,アラビアゴム末「S」,ｱﾗﾋﾞｱｺﾞﾑﾏﾂS,g（1）,,1％,可能,15kg,,images\47.jpg,kg,15kg,,鈴粉末薬品㈱,日局,購買,日本バルク薬品㈱,0.255kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"52,000",470,A9208,補正対象,リボフラビンリン酸エステルナトリウム,（未設定）,389 : リボフラビンリン酸エステルナトリウム　＜協和ファーマ＞ ／ 日局 ／ 協和ファーマケミカル㈱ ／ 日本バルク薬品㈱,,12 ヵ月,2015/10/1より第一ファインケミカルから社名変更,リボフラビンリン酸エステルナトリウム,ﾘﾎﾞﾌﾗﾋﾞﾝﾘﾝｻﾝｴｽﾃﾙﾅﾄﾘｳﾑ,g（1）,,1％,可能,5kg,,images\470.jpg,kg,5kg,水分**%、含量**%,協和ファーマケミカル㈱,日局,購買,日本バルク薬品㈱,0.088kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"35,220",471,A9211,通常,リボフラビンリン酸エステルナトリウム,（未設定）,390 : リボフラビンリン酸エステルナトリウム　＜ＤＳＭ＞ ／ 日局 ／ ＤＳＭ㈱ ／ 金剛薬品㈱,,12 ヵ月,,リボフラビンリン酸エステルナトリウム(リン酸リボフラビンナトリウム),ﾘﾎﾞﾌﾗﾋﾞﾝﾘﾝｻﾝｴｽﾃﾙﾅﾄﾘｳﾑ.ﾘﾝｻﾝﾘﾎﾞﾌﾗﾋﾞﾝﾅﾄﾘｳﾑ.,g（1）,,1％,可能,1kg,,images\471.jpg,kg,1kg,水分**%、含量**%,DSM,日局,購買,金剛薬品㈱,0.07kg,,
,2 枚,12 ヵ月,14 日,液剤,リテスト,リテスト3年,する,主薬,"41,900",472,F0016,通常,リボフラビンリン酸エステルナトリウム,（未設定）,392 : （リボフラビン5’-）リン酸エステルナトリウム（食添） ／ 食添 ／ 岩城製薬㈱ ／ イワキ㈱,,12 ヵ月,,食品添加物 リボフラビン5＇-リン酸エステルナトリウム,ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ ﾘﾎﾞﾌﾗﾋﾞﾝｺﾞﾀﾞﾂｼﾕﾘﾝｻﾝｴｽﾃﾙﾅﾄﾘｳﾑ,g（1）,,1％,可能,1kg,2021年6月～イワキ㈱及び岩城製薬㈱→スペラネクサス㈱へ社名変更,images\472.jpg,kg,1kg,,スペラネクサス㈱,食添,購買,スペラネクサス㈱,0.05kg,,
,1 枚,12 ヵ月,14 日,クリーム剤,表示なし,―,する,その他,731,473,A9204,通常,流動パラフィン,（未設定）,188 : スモイルP-350P（＝流動パラフィン） ／  ／ ㈱MORESCO ／ 日本バルク薬品㈱,,12 ヵ月,,スモイルP-350P,ｽﾓｲﾙﾋﾟｰｻﾝﾋﾞﾔｸｺﾞｼﾞﾕｳﾋﾟｰ,g（1）,,1％,可能,17.7kg,流動パラフィン,images\473.jpg,kg,17.7kg,,㈱MORESCO,日局,購買,日本バルク薬品㈱,1.305kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,590,475,B9202,通常,リンゴ透明濃縮果汁50,（未設定）,397 : りんご透明濃縮果汁50 ／  ／ 青森アップルジュウス ／ 日本バルク薬品㈱,,12 ヵ月,,りんご透明濃縮果汁50,ﾘﾝｺﾞﾄｳﾒｲﾉｳｼﾕｸｶｼﾞﾕｳｺﾞｼﾞﾕｳ,g（1）,,1％,可能,23kg,23L使い切り,,L,23L,,青森アップルジュウス,食品メーカー規格,購買,日本バルク薬品㈱,1.2kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"2,200",48,C1102,通常,アラビアゴム末,（未設定）,013 : アラビックコール　（＝スプレーアラビアゴム末） ／  ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,POWDERED DRUG アラビアゴム末,ﾊﾟｳﾀﾞｰﾄﾞﾄﾞﾗﾂｸﾞ ｱﾗﾋﾞｱｺﾞﾑﾏﾂ,g（1）,,1％,可能,15kg,スプレーアラビアゴム末,images\48.jpg,kg,15kg,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.304kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"4,500",482,B9404,通常,香料,（未設定）,403 : レモンエッセンスＧ-7668 ／  ／ 高砂香料工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,レモンエッセンスG-7668,ﾚﾓﾝｴﾂｾﾝｽｼﾞｰﾅﾅﾛｸﾛｸﾊﾁ,g（1）,,1％,可能,1kg,(kg入荷、L使用、0.893～0.913)中央値0.903 新エゾエースHは比重0.900で固定ゆめぽりす工場は使用製品無し。みどりヶ丘工場で使用中。,images\482.jpg,kg,1kg,,高砂香料工業㈱,別紙規格,購買,日本バルク薬品㈱,0.078kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,678,483,C3409,通常,セイヨウサンザシエキス-SA,（未設定）,（未設定）,,12 ヵ月,,セイヨウサンザシエキス-SA,ｾｲﾖｳｻﾝｻﾞｼｴｷｽ ｴｽｴｰ,g（1）,,1％,可能,5kg,ユンケルゾンネ,,kg,5kg,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.75kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"5,800",484,B9503,通常,ローズヒップフレーバー M27046,（未設定）,427 : ローズヒップフレーバーM-27046 ／  ／ 高砂香料工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ローズヒップフレーバー M-27046,ﾛｰｽﾞﾋﾂﾌﾟﾌﾚｰﾊﾞｰ ｴﾑﾆﾅﾅｾﾞﾛﾖﾝﾛｸ,g（1）,,1％,可能,1kg,【比重】規格:0.879～0.899、規格中央値:0.889,images\484.jpg,kg,1kg,,高砂香料工業㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後2年保証,する,主薬,"17,000",486,F0147,通常,ローヤルゼリーエキス,（未設定）,463 : ローヤルゼリー抽出液T ／ 食品用 ／ 松浦薬業㈱ ／ 松浦薬業㈱,,12 ヵ月,,ローヤルゼリー抽出液T,ﾛｰﾔﾙｾﾞﾘｰﾁﾕｳｼﾕﾂｴｷﾃｲｰ,g（1）,,1％,可能,2kg,2021.8.6納入分より、【変更指示21-021】品質保証期限「製造後3年(未開封時)」,images\486.jpg,kg,2kg,,松浦薬業㈱,食品メーカー規格,購買,松浦薬業㈱,0.11kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"11,500",488,C9513,通常,ローヤルゼリーチンキS,（未設定）,407 : ローヤルゼリーチンキS ／  ／ 松浦薬業㈱ ／ 松浦薬業㈱,,12 ヵ月,ロット内にSが無い,ローヤルゼリーチンキS,ﾛｰﾔﾙｾﾞﾘｰﾁﾝｷｴｽ,g（1）,,1％,可能,7.5kg,,images\488.jpg,kg,7.5kg,,松浦薬業㈱,別紙規格,購買,松浦薬業㈱,1.06kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,主薬,"30,000",49,A1114,通常,アラントイン,（未設定）,015 : アラントイン ／ 局外規 ／ ㈱パーマケム・アジア ／ 日本バルク薬品㈱,,12 ヵ月,,アラントイン(パーマケム・アジア),ｱﾗﾝﾄｲﾝ.ﾊﾟｰﾏｹﾑ･ｱｼﾞｱ.,g（1）,【21-255】ジーフォーL パーマケムアジアのアラントイン 粗アラントイン製造所変更(2024.3.1入荷),1％,可能,10kg,昔使用していた時は、日本バルクへ発注。2021年度ジーフォーLで使用分からスペラネクサスへ発注。原産国:日本,images\49.jpg,kg,10kg,,㈱パーマケム・アジア,局外規,購買,スペラネクサス㈱,0.985kg,,
,1 枚,12 ヵ月,14 日,外用剤,リテスト,―,する,その他,180,492,A9216,通常,硫酸マグネシウム水和物,（未設定）,393 : 硫酸マグネシウム水和物（局方） ／ 局方 ／ 富田製薬 ／ 日本バルク薬品㈱,,12 ヵ月,,硫酸マグネシウム水和物,ﾘﾕｳｻﾝﾏｸﾞﾈｼｳﾑｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,25kg,終売 2024.2.26最終入荷2021年8月メーカー製造分より、原料試験様式変更,,kg,25kg,,富田製薬㈱,日局,購買,日本バルク薬品㈱,0.205kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,620,493,A1431,通常,エリスリトールB,（未設定）,055 : エリスリトール ／ 薬添規・食添 ／ Baolingbao ／ 日本バルク薬品㈱,,12 ヵ月,,エリスリトールB,ｴﾘｽﾘﾄｰﾙﾋﾞｰ,g（1）,,1％,可能,25kg,,images\493.jpg,kg,25kg,,Baolingbao Biology,薬添規・食品用,購買,日本バルク薬品㈱,0.2kg,,
,2 枚,12 ヵ月,14 日,液剤/錠剤,使用期限,―,する,主薬,"3,550",494,A2115,通常,無水カフェイン,646 : 無水カフェイン（三菱ケミカル）ゆめ ／ 日局 ／ 三菱ケミカルフーズ㈱ ／ 興和㈱,571 : 無水カフェイン（三菱ケミカル）えき ／ 日局 ／ 三菱ケミカルフーズ㈱ ／ 興和㈱,,12 ヵ月,劇物,無水カフェイン(三菱ケミカル),ﾑｽｲｶﾌｴｲﾝ.ﾐﾂﾋﾞｼｹﾐｶﾙ.,g（1）,,1％,可能,10kg,劇物,images\494.jpg,kg,10kg,,三菱ケミカル㈱,日局,購買,興和㈱化学素材部 機能材料課,2.16kg,,
,1 枚,12 ヵ月,14 日,外用剤/軟膏/クリーム剤,リテスト,―,する,主薬,"6,200",495,A2323,通常,クロタミトン,（未設定）,643 : クロタミトン（住友化学） ／ 局外規 ／ 住友化学 ／ 日本バルク薬品㈱,,12 ヵ月,,クロタミトン,ｸﾛﾀﾐﾄﾝ,g（1）,,1％,可能,20kg,局外規 クロタミトン(E)-N-エチルクロトン-σ-トルイジド・金剛終売→住友化学,images\495.jpg,kg,20kg,,住友化学㈱,局外規,購買,日本バルク薬品㈱,1.475kg,,
,1 枚,12 ヵ月,14 日,全般,表示なし,―,する,その他,3,496,―,通常,精製水,（未設定）,（未設定）,,無期限,,精製水,ｾｲｾｲｽｲ,kg（1）,,なし,不可,999kg,,,kg,―,,中外医薬生産㈱,日局,購買,中外医薬生産㈱,0kg,,
,1 枚,12 ヵ月,14 日,坐剤,表示なし,―,する,主薬,"24,300",498,A2413,通常,ケトプロフェン(229MF10068),（未設定）,（未設定）,,12 ヵ月,劇物、長生堂,ケトプロフェン(HUBEI),ｹﾄﾌﾟﾛﾌｴﾝ.ﾋﾕｰﾍﾞｲ.,g（1）,,1％,可能,20kg,リードタイム:受注後1週間。Hubei→STC横浜医薬品保管倉庫(島津テクノリサーチ),images\498.jpg,kg,25kg,,HUBEI XUNDA社(㈱ソーゴ・トレーディング),日局,購買,日本バルク薬品㈱,4.215kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,主薬,"28,000",499,A6210,通常,ビサコジル,（未設定）,566 : ビサコジル（長生堂） ／ 日局 ／ 新日本薬業（Cambrex) ／ アルフレッサファーマ,,12 ヵ月,長生堂,ビサコジル(新日本薬業),ﾋﾞｻｺｼﾞﾙ.ｼﾝﾉﾎﾝﾔｸｷﾞﾖｳ.,g（1）,,1％,可能,5kg,,images\499.jpg,kg,5kg,,新日本薬業㈱,日局,購買,アルフレッサファーマ㈱,1.345kg,,
,1 枚,12 ヵ月,14 日,液剤/錠剤/坐剤,使用期限,―,しない,主薬,"10,850",5,A1419,通常,dl-メチルエフェドリン塩酸塩,（未設定）,474 : dl-メチルエフェドリン塩酸塩 ／ 日局 ／ アルプス薬品工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,2015/11/10より,dl-メチルエフェドリン塩酸塩,ﾃﾞｲｰｴﾙﾒﾁﾙｴﾌｴﾄﾞﾘﾝｴﾝｻﾝｴﾝ,g（1）,,1％,不可,1kg,覚醒剤土日またぎの出荷×福地製薬用単価を記入する。,images\5.jpg,kg,5kg,,アルプス薬品工業㈱,日局,購買,日本バルク薬品㈱,0.025kg,,
,1 枚,12 ヵ月,14 日,坐剤/軟膏,表示なし,―,する,主薬,"6,450",50,A1126,通常,アラントイン,（未設定）,448 : アラントイン ／ 外原規 ／ 川研ファインケミカル ／ 日本バルク薬品㈱,,12 ヵ月,外原基で入荷し局外規にて受入,アラントイン,ｱﾗﾝﾄｲﾝ,g（1）,,1％,可能,10kg,「外原規」を購入して、受入れ試験後「局外規」毎回全項目試験必要のため、3ヶ月分くらいの数量を発注する。試験に最低1週間かかる。,images\50.jpg,kg,10kg,,川研ファインケミカル㈱,局外規,購買,日本バルク薬品㈱,1.23kg,,
,2 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,主薬,"14,500",501,A3226,補正対象,次没食子酸ビスマス,（未設定）,601 : 次没食子酸ビスマス（八代） ／ 日局 ／ 八代製薬 ／ イワキ㈱,,12 ヵ月,長生堂,次没食子酸ビスマスP,ｼﾞﾎﾞﾂｼﾖｸｼｻﾝﾋﾞｽﾏｽﾋﾟｰ,g（1）,,1％,可能,10kg,ヘルミチンS坐剤,images\501.jpg,kg,10kg,乾燥減量**%,八代製薬㈱,日局,購買,スペラネクサス㈱,0.145kg,,
,2 枚,12 ヵ月,14 日,坐剤,使用期限,―,する,その他,"1,930",502,A6120,通常,ハードファット/硬化油,（未設定）,037 : ウイテプゾール Ｍ．Ｅ．299 ／ 薬添規 ／ 綿半トレーディング㈱ ／ アルフレッサファーマ,,12 ヵ月,"2016/7/1付,ミツバ貿易から社名変更",M.E.299,ﾏﾂｻｴｽﾀﾘﾅﾑ ﾆｰｷﾕｳｷﾕｳ,g（1）,,1％,可能,15kg,「MASSA ESTARINUM 299」リードタイム8ヶ月ジクロフェナクNa坐剤「NIG」は硬化油(日局)として使用。,images\502.jpg,kg,15kg,,綿半トレーディング㈱,薬添規/日局,購買,日本バルク薬品㈱,0.105kg,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,―,する,主薬,"13,380",509,A1128,通常,アズレンスルホン酸ナトリウム水和物,（未設定）,486 : アズレンスルホン酸ナトリウム水和物 ／ 局外規 ／ アルプス薬品工業㈱ ／ 福地製薬㈱,,12 ヵ月,,アズレンスルホン酸ナトリウム(水溶性アズレン),ｱｽﾞﾚﾝｽﾙﾎﾝｻﾝﾅﾄﾘｳﾑ.ｽｲﾖｳｾｲｱｽﾞﾚﾝ.,g（1）,,1％,可能,1kg,セロラのどリフレッシュスプレー(前回サンプル対応、本購入まだ),images\509.jpg,kg,1kg,乾燥減量**%,アルプス薬品工業㈱,局外規,購買,日本バルク薬品㈱,0.018kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,―,する,主薬,"16,600",51,A1125,通常,アリルイソプロピルアセチル尿素,（未設定）,452 : アリプロナール（アリルイソプロピルアセチル尿素） ／ 別紙規格 ／ 金剛化学 ／ 日本バルク薬品㈱,,12 ヵ月,,アリプロナール「コンゴー」(アリルイソプロピルアセチル尿素),ｱﾘﾌﾟﾛﾅｰﾙ「ｺﾝｺﾞｰ｣.ｱﾘﾙｲｿﾌﾟﾛﾋﾟﾙｱｾﾁﾙﾆﾖｳｿ.,g（1）,,1％,可能,10kg,外部試験に出すので、試験に14日～20日はかかる。余裕をもって発注する。,images\51.jpg,kg,10kg,,金剛化学㈱,別紙規格,購買,日本バルク薬品㈱,0.13kg,,
,1 枚,12 ヵ月,14 日,坐剤,リテスト,,する,主薬,"21,000",513,A1438,通常,塩酸リドカイン(リドカイン塩酸塩),（未設定）,（未設定）,,12 ヵ月,,塩酸リドカイン(スペラネクサス),ｴﾝｻﾝﾘﾄﾞｶｲﾝ.ｽﾍﾟﾗﾈｸｻｽ.,g（1）,,1％,可能,10kg,受入試験:外注項目あり(1ヶ月)ジーフォーL、自社調達。リドカイン塩酸塩,,kg,10kg,,スペラネクサス㈱,別紙規格,購買,スペラネクサス㈱,1.3kg,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,―,する,その他,950,517,A9221,通常,リン酸水素ナトリウム水和物,（未設定）,493 : リン酸水素ナトリウム水和物 ／ 日局 ／ 太平化学産業㈱ ／ 福地製薬㈱,,12 ヵ月,,リン酸水素ナトリウム水和物,ﾘﾝｻﾝｽｲｿﾅﾄﾘｳﾑｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,25kg,2022.5初回入荷。セロラのどリフレッシュスプレー,,kg,25kg,,太平化学産業㈱,日局,購買,ダイト㈱,0.3kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"6,100",52,A1123,通常,アルギン酸プロピレングリコールエステル,（未設定）,433 : キミロイドLLV ／ 食添 ／ (株)キミカ ／ 日本バルク薬品㈱,,12 ヵ月,,キミロイド LLV 食品添加物,ｷﾐﾛｲﾄﾞ ｴﾙｴﾙﾌﾞｲ ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂ,g（1）,,1％,可能,1kg,,images\52.jpg,kg,1kg,,㈱キミカ,薬添規,購買,日本バルク薬品㈱,0.01kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"2,400",522,A2203,通常,キシリトール,（未設定）,497 : キシリトール（キシリット結晶） ／ 日局 ／ 三菱商事フードテック㈱ ／ 日本バルク薬品㈱,,12 ヵ月,福地製薬支給 2019/4/1より三菱フードテックは3社統合による社名変更,キシリット(キシリトール),ｷｼﾘﾂﾄ.ｷｼﾘﾄｰﾙ.,g（1）,,1％,可能,20kg,,,kg,20kg,,三菱商事ライフサイエンス㈱,日局,購買,日本バルク薬品㈱,0.17kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"5,600",528,B3303,通常,ストロベリーエッセンス #1481,（未設定）,522 : ストロベリーエッセンス#1481 ／ 別紙規格 ／ 高田香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,福地製薬支給,ストロベリーエッセンス #1481,ｽﾄﾛﾍﾞﾘｰｴﾂｾﾝｽ ﾅﾝﾊﾞｰｲﾁﾖﾝﾊﾁｲﾁ,g（1）,,1％,可能,1kg,【比重】規格:0.883～0.903、規格中央値:0.8932022.3.3入荷分～福地製薬より有償支給。(それまでは日本バルク薬品より購入),images\528.jpg,kg,1kg,,高田香料㈱,香料,購買,福地製薬㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"6,250",529,B0101,通常,ワニラオイル,（未設定）,521 : ワニラオイル ／ 別紙規格 ／ 三栄源エフ・エフ・アイ ／ 日本バルク薬品㈱,,12 ヵ月,福地製薬支給,ワニラオイル,ﾜﾆﾗｵｲﾙ,g（1）,,1％,可能,1kg,【比重】規格:1.015～1.045、規格中央値:1.030,images\529.jpg,kg,1kg,,三栄源エフ・エフ・アイ㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,800,53,A1116,通常,安息香酸ナトリウム,（未設定）,018 : 安息香酸ナトリウム ／ 日局 ／ ㈱伏見製薬所 ／ イワキ㈱,,12 ヵ月,,安息香酸ナトリウム,ｱﾝｿｸｺｳｻﾝﾅﾄﾘｳﾑ,g（1）,,1％,可能,20kg,,images\53.jpg,kg,20kg,,㈱伏見製薬所,日局,購買,スペラネクサス㈱,0.3kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"36,000",530,C3102,通常,柴胡桂枝湯エキス,（未設定）,504 : 柴胡桂枝湯エキス-A ／ 別紙規格 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,福地製薬支給,柴胡桂枝湯エキス-A,ｻｲｺｹｲｼﾄｳｴｷｽｴｰ,g（1）,,1％,可能,10kg,ロット:BE3232A、コフチールこどもかぜシロップ専用,images\530.jpg,kg,10kg,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.85kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"4,658",531,C2202,通常,キキョウ流エキス,（未設定）,510 : キキョウ流エキス ／ 日局 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,福地製薬支給,キキョウ流エキス,ｷｷﾖｳﾘﾕｳｴｷｽ,g（1）,,1％,可能,10kg,【比重】実績平均値:1.035 L単価=4500円 Kg単価=4500×1.035,images\531.jpg,L,10L,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.77kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"15,300",533,B3304,通常,ストロベリーフレーバー OSA-20606,（未設定）,507 : ストロベリーフレーバーOSA-20606 ／ 別紙規格 ／ 長谷川香料 ／ 安井香料薬品,,12 ヵ月,福地製薬支給,ストロベリーフレーバー OSA-20606,ｽﾄﾛﾍﾞﾘｰﾌﾚｰﾊﾞｰ ｵｰｴｽｴｰﾆｾﾞﾛﾛｸｾﾞﾛﾛｸ,g（1）,,1％,可能,1kg,【比重】規格:1.012～1.024、規格中央値:1.018,images\533.jpg,kg,1kg,,長谷川香料㈱,香料,購買,安井香料薬品㈱,0.145kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,主薬,"5,090",534,C5101,通常,南天実流エキス,（未設定）,517 : 南天実流エキス ／ 別紙規格 ／ 日本粉末薬品㈱ ／ 日本粉末薬品㈱,,12 ヵ月,,南天実流エキス,,g（1）,,1％,可能,10kg,比重値:1.018 L単価=5000円 Kg単価=5000×1.018,,L,10L,,日本粉末薬品㈱,別紙規格,購買,日本粉末薬品㈱,0.75kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"4,050",535,B6303,通常,ブランデーエッセンス KA-41252,（未設定）,514 : ブランデーエッセンスKA-41252 ／  ／ 高田香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,福地製薬支給,ブランデーエッセンス KA-41252,ﾌﾞﾗﾝﾃﾞｰｴﾂｾﾝｽ ｹｰｴｰﾖﾝｲﾁﾆｺﾞﾆ,g（1）,,1％,可能,1kg,【比重】規格:0.901～0.907、規格中央値:0.904,,kg,1kg,,高田香料㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"4,150",536,B6304,通常,プルーンエッセンス #4049,（未設定）,513 : プルーンエッセンス#4049 ／  ／ 高田香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,福地製薬支給,プルーンエッセンス #4049,ﾌﾟﾙｰﾝｴﾂｾﾝｽ  ﾅﾝﾊﾞｰﾖﾝｾﾞﾛﾖﾝｷﾕｳ,g（1）,,1％,可能,1kg,【比重】規格:0.930～0.940、規格中央値:0.935,,kg,1kg,,高田香料㈱,香料,購買,日本バルク薬品㈱,0.08kg,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"1,561",537,A9222,通常,リントップCR,（未設定）,505 : リントップCR ／ 別紙規格 ／ 燐化学工業 ／ ㈱大正堂,,12 ヵ月,福地製薬支給,リントップCR,ﾘﾝﾄﾂﾌﾟｼｰｱｰﾙ,g（1）,,1％,可能,1kg,,images\537.jpg,kg,10kg,,燐化学工業㈱,別紙規格,購買,㈱大正堂,0.007kg,,
